epoch,loss,val_loss
0,7.607131216464898,5.364134468444406
1,2.370805892985091,2.5458777505036903
2,1.9640706197764628,1.4917409314888797
3,1.6483139114629508,1.6708981097765165
4,1.216958141912762,1.3725158265370825
5,1.1985675551315658,1.218727354993661
6,1.0756124336606798,1.1795380557313153
7,0.9104319098206539,1.1324802511403567
8,0.871138600126291,0.7550833926485111
9,0.9159600458099929,1.3544796524212173
10,0.7759874066942904,1.404896538449477
11,0.7005046687685909,0.8316949978917327
12,0.7146368902001498,0.8239523894281113
13,0.6884682925553339,1.372130010535379
14,0.6293222982384679,0.6789862421350809
15,0.6063693364668223,0.7798528983385289
16,0.6196083373226958,0.6504059030470273
17,0.570120807710844,0.6417446671650197
18,0.48242971097580833,0.6479558863450633
19,0.48175102280150367,0.5263409771763541
20,0.4988930902302536,0.625242925430042
21,0.4042288318158995,0.549511124766655
22,0.42518612483723295,0.5538593582794619
23,0.4459108941945542,0.5682582711260319
24,0.42730780633536575,0.5476961201583099
25,0.36625505132982744,0.5865928263511917
26,0.41787532469850736,0.45830094678110556
27,0.42257383790098,0.8962366532499276
28,0.36870529374971384,0.7233408954854073
29,0.38897105794654696,1.1204129994323808
30,0.36771825494495436,0.47217381955642723
31,0.31778249575211226,0.44327026130216934
32,0.30709320954385444,0.5657048411607545
33,0.3686147447154085,0.4540149825641069
34,0.2976486968439725,0.6224003921088297
35,0.329012860206322,0.4360539787620376
36,0.3321100051378489,0.4431915446240391
37,0.2519606007755591,0.32875682696602815
38,0.31736906652486063,0.4514405995735752
39,0.27531831154956,0.5192082294148125
40,0.2495753427504753,0.4041443404100504
41,0.318702827163566,0.6326667025341646
42,0.3295210756078904,0.4824041374105871
43,0.2915133647167952,0.4989178515570031
44,0.2541193872858356,0.45644083529812834
45,0.2895456232316593,0.42321900405708945
46,0.24920119053294135,0.4454947016321518
47,0.2664996612629491,0.4230518686518947
